origen;name;banda1;banda2;banda3;banda4;detalle
cp;1;410.0125425;949.1545389;791.0273432;4512.178973;97
cp;1;406.2534336;907.3082979;775.2681666;4391.203763;97
cp;1;422.8086097;909.6214964;800.9697134;4220.466244;97
cp;1;337.9061943;865.0376147;705.5306409;4463.690547;97
cp;1;289.6909513;675.8696231;519.5529094;4589.092362;97
cp;1;565.8104713;1204.207827;1016.633983;4938.279791;97
cp;1;222.3128587;546.2526574;464.5003275;3112.527108;97
cp;1;212.4031979;531.5951819;428.8403514;3468.319905;97
cp;1;255.6280673;630.3148538;511.4902929;3697.170817;97
cp;1;193.1262247;478.7144323;362.6652891;3571.293507;97
cp;1;555.507687;1185.807987;1015.040927;4430.252705;97
cp;1;257.2853566;586.1166041;460.4429125;4338.503785;97
cp;1;268.9684556;626.0025078;512.980488;4319.758593;97
cp;1;425.4158531;922.6478733;739.7501183;5377.204173;97
cp;1;420.9123206;926.7883557;770.3286872;5538.560497;97
cp;1;258.0176038;567.2474569;469.8730402;3660.095599;97
cp;1;203.0078802;472.6308268;370.075754;3912.285355;97
cp;1;228.7977592;556.935147;438.3145895;3973.245544;97
cp;1;379.8080884;852.2808534;701.1318262;4903.107334;97
cp;1;425.8065604;904.303966;756.954897;4723.346525;97
cp;1;384.6848776;873.637639;720.6476867;4771.760585;97
cp;1;231.3422057;592.9918647;483.3955447;3701.14219;97
cp;1;328.3820467;743.3116306;632.3284388;3799.75089;97
cp;1;336.2325073;748.5828067;623.5310132;3809.341477;97
cp;1;343.8069809;839.9641467;686.8162182;3968.956415;97
cp;1;347.2725527;815.5830435;630.3577459;4278.019994;97
cp;1;167.6386365;403.0507956;307.6150117;3611.07327;97
cp;1;240.7613847;566.8536331;465.5277848;4066.563707;97
cp;1;162.4663445;388.9508358;282.4838308;4581.033478;97
cp;1;186.2630474;417.6517456;327.8972058;3815.193385;97
cp;1;445.456457;984.3229712;798.9329216;5112.547447;97
cp;1;200.3599367;433.6886599;342.6248311;3086.00144;97
cp;1;254.5770674;535.7718196;443.4785161;4491.331887;97
cp;1;321.7916877;682.9765571;542.0020526;4921.43137;97
cp;1;298.4526908;639.3114222;519.5942376;4624.509632;97
cp;1;172.3121523;394.491137;289.9541729;4045.58785;97
cp;1;256.9355118;556.4282743;450.9324758;3601.324139;97
cp;1;126.348856;308.0409951;230.6349891;3388.748262;97
cp;1;284.8724487;611.6405467;495.8675648;4454.448795;97
cp;1;308.1739185;677.652853;545.4911534;4304.35089;97
cp;1;281.5141714;595.9129906;503.2785543;4010.676999;97
cp;1;275.7727174;596.3095605;480.6225326;3621.911893;97
cp;1;416.7592703;889.3273197;741.7654679;4584.967442;97
cp;1;373.425973;796.4504882;664.2828334;4642.103073;97
cp;1;210.4955047;448.9014798;353.0554765;3571.743065;97
cp;1;428.6290891;847.6687372;733.1102882;4043.672446;97
cp;1;343.8883812;718.1984451;598.5848587;4345.964981;97
cp;1;112.6854971;337.3049737;178.8223218;3683.0571;63
cp;1;102.1084204;321.4625325;167.7072788;4752.408356;63
cp;1;133.8951826;467.5554929;266.7103126;4687.380511;63
cp;1;244.634345;634.2023897;406.2837295;4470.908122;63
cp;1;115.6373837;312.6216895;165.8608093;4436.137105;63
cp;1;95.79097967;309.7552295;157.7544798;4873.096949;63
cp;1;92.22721063;271.011824;170.6663927;3115.409597;63
cp;1;175.7464653;573.7632448;363.3384358;4802.018232;63
cp;1;86.97775794;304.9130346;168.3333869;3631.147846;63
cp;1;115.1208588;362.543031;228.5416676;4579.001044;63
cp;1;81.93275801;231.5587855;149.5455098;2152.364762;63
cp;1;129.2372408;435.9934609;257.4470437;4448.417182;63
cp;1;97.14749481;292.6841867;159.8318879;3249.651122;63
cp;1;109.7134462;291.8203166;171.3555468;3033.491332;63
cp;1;83.95442035;262.3514386;143.2350777;3518.61961;63
cp;1;95.76037277;290.6452131;177.4879324;3629.641951;63
cp;1;157.6912673;534.3434874;302.8043677;4809.641649;63
cp;1;146.7649991;475.9736331;258.6443055;5259.38072;63
cp;1;107.9505732;346.6069929;201.3901485;3525.865291;63
cp;1;179.2905069;553.7215367;310.5029453;5344.770832;63
cp;1;166.34214;615.7030661;340.9370387;5572.940093;63
cp;1;96.98184959;316.7561731;184.5025199;3347.013925;63
cp;1;157.1947684;430.3677331;294.224487;3230.969318;63
cp;1;143.3747489;511.0815663;298.6673653;4363.236433;63
cp;1;87.03500301;252.665697;160.1387378;2810.945943;63
cp;1;189.8818473;524.0326086;311.14028;4181.956131;63
cp;1;114.6711186;393.8582309;204.4278626;5062.373121;63
cp;1;69.03983229;192.9930375;110.2869074;3393.516097;63
cp;1;76.27870703;185.9069128;104.9345473;2707.339886;63
cp;1;147.4947674;348.4686405;225.0336027;3284.939706;63
cp;1;102.7804414;298.9861865;173.7604245;3273.928511;63
cp;1;116.8049438;326.2427228;184.5200281;4802.400627;63
cp;1;64.08278516;171.0804728;93.03844601;2852.233703;63
cp;1;79.22855193;192.0275301;112.4162473;3297.457187;63
cp;1;98.52520701;291.458811;154.4561871;4960.926056;63
cp;1;150.0108944;368.4018738;215.8129585;4911.913688;63
cp;1;129.1085774;368.5593355;196.5223028;5226.585338;63
cp;1;42.73218147;115.718957;62.5772622;2613.126495;63
cp;1;91.93990801;295.3533778;157.7706788;4663.914499;63
cp;1;101.5647577;302.5287007;158.9462331;5063.407577;63
cp;1;121.0422582;271.826096;159.6944009;4018.129552;63
